Altium Designer Pick and Place Locations
C:\Users\marko\OneDrive - Univerza v Ljubljani\Pedagogika\OME\Razvojni sistem\Misko v3.1\PCB\v1.1\Project Outputs for MISKO3\Pick Place for Misko 3 1.1.csv

========================================================================================================================
File Design Information:

Date:       23/02/23
Time:       09:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Code","Value","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"C48","NB6-100N","NP","TopLayer","C0603","1120.079","1090.552","180"
"R94","LC5-10K","10k","TopLayer","R1608_0603I_L","2413.386","555.118","0"
"R95","LC5-10K","10k","TopLayer","R1608_0603I_L","2757.840","461.031","270"
"R33","LC2-56E","56","TopLayer","R1608_0603I_L","1613.726","668.920","0"
"R31","LC2-56E","56","TopLayer","R1608_0603I_L","1613.726","609.450","0"
"R30","LC2-56E","56","TopLayer","R1608_0603I_L","1613.726","549.980","0"
"R42","LC2-56E","56","TopLayer","R1608_0603I_L","1614.836","1068.587","180"
"R93","LC5-10K","10k","TopLayer","R1608_0603I_L","2410.894","1028.465","0"
"R89","LC4-1K","1k","TopLayer","R1608_0603I_L","746.144","1550.919","180"
"R88","LC4-1K","1k","TopLayer","R1608_0603I_L","997.620","1350.394","180"
"R87","LC4-1K","1k","TopLayer","R1608_0603I_L","997.620","1155.512","180"
"R86","LC4-1K","1k","TopLayer","R1608_0603I_L","997.620","1285.433","180"
"R90","LC4-1K","1k","TopLayer","R1608_0603I_L","997.620","1220.473","180"
"R78","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1261.849","180"
"R70","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1208.418","180"
"R79","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1368.710","180"
"R71","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1315.280","180"
"R80","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1475.572","180"
"R72","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1422.141","180"
"R81","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1582.434","180"
"R73","LC4-1K","1k","TopLayer","R1608_0603I_L","4026.864","1529.003","180"
"R82","LC4-1K","1k","TopLayer","R1608_0603I_L","997.620","1480.315","0"
"R74","LC4-1K","1k","TopLayer","R1608_0603I_L","1122.047","1480.315","0"
"R83","LC4-1K","1k","TopLayer","R1608_0603I_L","748.766","1480.315","0"
"R75","LC4-1K","1k","TopLayer","R1608_0603I_L","873.193","1480.315","0"
"R84","LC4-1K","1k","TopLayer","R1608_0603I_L","997.620","1415.959","0"
"R76","LC4-1K","1k","TopLayer","R1608_0603I_L","1122.047","1415.682","0"
"R85","LC4-1K","1k","TopLayer","R1608_0603I_L","748.766","1415.959","0"
"R77","LC4-1K","1k","TopLayer","R1608_0603I_L","873.193","1415.959","0"
"R69","LC4-1K","1k","TopLayer","R1608_0603I_L","3376.916","896.376","0"
"R67","LC4-1K","1k","TopLayer","R1608_0603I_L","3376.916","1058.480","0"
"R40","LC2-56E","56","TopLayer","R1608_0603I_L","1361.171","1158.922","0"
"R56","LC2-56E","56","TopLayer","R1608_0603I_L","2039.689","1266.009","270"
"R55","LC2-56E","56","TopLayer","R1608_0603I_L","2092.828","1266.009","270"
"R54","LC2-56E","56","TopLayer","R1608_0603I_L","2145.968","1266.009","270"
"R53","LC2-56E","56","TopLayer","R1608_0603I_L","2199.107","1266.009","270"
"R38","LC4-1K","1k","TopLayer","R1608_0603I_L","1444.434","1027.866","0"
"R37","LC4-1K","1k","TopLayer","R1608_0603I_L","1613.726","949.080","0"
"R36","LC4-1K","1k","TopLayer","R1608_0603I_L","1613.726","893.540","0"
"R44","LC5-10K","10k","TopLayer","R1608_0603I_L","1813.939","1683.075","0"
"R35","LC6-100K","100k","TopLayer","R1608_0603I_L","1733.773","1003.870","0"
"R43","LC5-10K","10k","TopLayer","R1608_0603I_L","1815.000","1621.000","0"
"R45","LC6-100K","100k","TopLayer","R1608_0603I_L","1849.202","1348.756","90"
"R41","LC5-10K","10k","TopLayer","R1608_0603I_L","1392.828","1669.824","180"
"R34","LC2-56E","56","TopLayer","R1608_0603I_L","1734.167","1068.587","0"
"R32","LC5-10K","10k","TopLayer","R1608_0603I_L","1613.726","1004.620","0"
"R39","LC2-56E","56","TopLayer","R1608_0603I_L","1239.757","1158.162","0"
"R29","LC5-10K","10k","TopLayer","R1608_0603I_L","1392.828","1791.593","180"
"R28","LC2-56E","56","TopLayer","R1608_0603I_L","1613.726","490.510","0"
"R26","LC5-10K","10k","TopLayer","R1608_0603I_L","1392.828","1730.709","180"
"R27","LC5-10K","10k","TopLayer","R1608_0603I_L","1846.457","433.071","180"
"R50","LC4-1K","1k","TopLayer","R1608_0603I_L","895.751","1720.210","270"
"R51","LC4-1K","1k","TopLayer","R1608_0603I_L","966.617","1720.210","90"
"R49","LC4-1K","1k","TopLayer","R1608_0603I_L","1037.483","1720.210","90"
"R47","LC4-1K","1k","TopLayer","R1608_0603I_L","1108.349","1720.210","90"
"R24","LC4-1K","1k","TopLayer","R1608_0603I_L","1613.726","726.622","180"
"R23","LC4-1K","1k","TopLayer","R1608_0603I_L","1613.726","786.092","0"
"R21","LC5-10K","10k","TopLayer","R1608_0603I_L","1613.726","840.708","0"
"R20","LC4-1K","1k","TopLayer","R1608_0603I_L","1068.189","704.676","180"
"R22","LC4-1K","1k","TopLayer","R1608_0603I_L","1068.189","762.272","180"
"R17","LC6-100K","100k","TopLayer","R1608_0603I_L","1124.378","1027.277","0"
"R19","LC6-100K","100k","TopLayer","R1608_0603I_L","998.032","1027.957","0"
"R25","LC2-56E","56","TopLayer","R1608_0603I_L","1728.347","433.071","180"
"R16","LC5-10K","10k","TopLayer","R1608_0603I_L","998.442","885.681","180"
"R14","LC5-10K","10k","TopLayer","R1608_0603I_L","998.668","956.280","180"
"R10","LC4-1K","1k","TopLayer","R1608_0603I_L","1068.189","474.292","0"
"R15","LC5-10K","10k","TopLayer","R1608_0603I_L","1204.454","654.423","270"
"R11","LC4-1K","1k","TopLayer","R1608_0603I_L","1068.189","531.888","0"
"R9","LC4-1K","1k","TopLayer","R1608_0603I_L","1068.189","589.484","0"
"R8","LC4-1K","1k","TopLayer","R1608_0603I_L","1068.189","647.080","0"
"R5","LC7-1M","1M","TopLayer","R1608_0603I_L","524.363","282.403","0"
"R4","LC5-10K","10k","TopLayer","R1608_0603I_L","524.363","485.661","0"
"R3","LC5-10K","10k","TopLayer","R1608_0603I_L","524.363","429.186","0"
"R2","LC5-10K","10k","TopLayer","R1608_0603I_L","158.511","591.459","90"
"R1","LC5-10K","10k","TopLayer","R1608_0603I_L","217.566","591.459","90"
"C22","NB2-10P","10p","TopLayer","C0603","1849.202","1103.525","90"
"C5","NB7-4U7-25V","4u7","TopLayer","C0603","839.506","565.701","90"
"C4","NB7-4U7-25V","4u7","TopLayer","C0603","774.363","565.869","90"
"C51","NB6-100N","100n","TopLayer","C0603","2750.072","618.110","90"
"C60","NB6-100N","100n","TopLayer","C0603","3248.032","1269.685","180"
"C59","NB6-100N","100n","TopLayer","C0603","2871.063","1443.898","270"
"C58","NB6-100N","100n","TopLayer","C0603","2554.916","1410.292","0"
"C57","NB6-100N","100n","TopLayer","C0603","2444.359","1104.685","0"
"C56","NB6-100N","100n","TopLayer","C0603","2848.236","617.874","90"
"C55","NB6-100N","100n","TopLayer","C0603","2463.394","769.287","90"
"C54","NB6-100N","100n","TopLayer","C0603","3090.551","653.543","0"
"C53","NB6-100N","100n","TopLayer","C0603","3255.508","1002.874","180"
"C23","NB6-100N","100n","TopLayer","C0603","1390.860","1606.971","180"
"C50","NB6-100N","100n","TopLayer","C0603","2411.701","970.665","0"
"C46","NB6-100N","100n","TopLayer","C0603","873.193","1550.919","180"
"C34","NB2-10P","NP","TopLayer","C0603","2211.571","1712.598","90"
"C45","NB6-100N","NP","TopLayer","C0603","1120.079","1349.082","180"
"C44","NB6-100N","NP","TopLayer","C0603","1120.079","1155.184","180"
"C43","NB6-100N","NP","TopLayer","C0603","1120.079","1284.449","180"
"C47","NB6-100N","NP","TopLayer","C0603","1120.079","1219.816","180"
"C42","NB6-100N","100n","TopLayer","C0603","3374.948","948.442","180"
"C40","NB6-100N","100n","TopLayer","C0603","3374.948","1002.477","180"
"C28","NB6-100N","100n","TopLayer","C0603","2468.000","1552.000","270"
"C27","NB6-100N","100n","TopLayer","C0603","2736.387","1663.253","90"
"C30","NB7-4U7-25V","4u7","TopLayer","C0603","1860.236","856.299","270"
"C29","NB7-4U7-25V","4u7","TopLayer","C0603","2038.521","1603.545","270"
"C25","NB2-10P","10p","TopLayer","C0603","1552.693","1624.595","0"
"C24","NB2-10P","10p","TopLayer","C0603","1679.451","1623.434","180"
"C21","NB6-100N","100n","TopLayer","C0603","1849.202","1470.305","90"
"C20","NB6-100N","100n","TopLayer","C0603","1816.530","1555.183","180"
"C19","NB6-100N","100n","TopLayer","C0603","1390.860","1548.055","0"
"C18","NB6-100N","100n","TopLayer","C0603","1365.149","1271.946","270"
"C17","NB6-100N","100n","TopLayer","C0603","1736.995","1127.782","0"
"C13","NB2-10P","10p","TopLayer","C0603","1441.739","798.187","180"
"C12","NB2-10P","10p","TopLayer","C0603","1319.525","796.940","180"
"C16","NB7-1U-25V","1u","TopLayer","C0603","1441.063","860.398","180"
"C15","NB7-1U-25V","1u","TopLayer","C0603","1354.331","1090.551","180"
"C14","NB7-1U-25V","1u","TopLayer","C0603","1127.218","885.966","0"
"C10","NB7-1U-25V","1u","TopLayer","C0603","1236.220","1090.551","180"
"C11","NB6-100N","100n","TopLayer","C0603","1127.218","820.490","180"
"C8","NB6-100N","100n","TopLayer","C0603","1484.252","496.063","270"
"C6","NB7-4U7-25V","4u7","TopLayer","C0603","680.386","565.869","90"
"C3","NH4-1N2KV","1n/2kV","TopLayer","C1206","573.576","355.512","180"
"C7","NB7-4U7-25V","4u7","TopLayer","C0603","850.422","847.202","90"
"C2","NB7-4U7-25V","4u7","TopLayer","C0603","280.683","589.491","270"
